id	title	abstract
58	Relevance Disagreements and Unclear Request Forms	"Disagreements about the relevance of documents to retrieval requests occur because relevance judges differently interpret requests of documents.. Requests may be differently interpreted because they are unclear.. Well-known types of request obscurity are reviewed.. Less well known is that a request may be unclear because its form - ""documents about subject S"", ""document answering question Q"", etc. - is unclear.. Explications are developed of the meanings of the request forms just given and several others.. A request of any of the forms discussed is interpreted to be for documents which support statements of a specified kind in a specified way.. Examples are given which suggest that some, perhaps all, ""about S"" requests are unclear.. Some ways of formulating clear question requests are given.. Various ways in which documents may support statements are distinguished.. These depend on on such factors as parts of a document use, inference strength, and background knowledge permitted.. Some possible clear support specifications are indicated.."
887	COM Catalog Based on OCLC Records	The production of a COM catalog using OCLC records on magnetic tape is outlined.. Standards developed within the library community as represented in the MARK format have made this catalog possible.. A brief overview of the procedures involved and of the catalog is presented..
235	Book Catalogs	In the intervening years since the appearance of the first collection of papers concerning book catalogs (Kingery, Robert E., and Tauber, Maurice F., Book Catalogs, N.Y., The Scarecrow Press, 1963), attention has been concentrated on the book catalog as a substitute for, or an auxiliary to the card catalog. This selection of papers has identified some of the efforts to solve particular problems concerned with book catalogs.  The published papers, as well as those which have been written specifically for this volume, bring additional observations concerning the place of the book catalog in library services.
1435	International Standardization of Cataloguing and Bibliographical Records: The Work of the IFLA Committee on Cataloguing	The ILFA Committee on Cataloguing has been at work since 1954 to establish international standards for cataloguing and bibliographical records, and was responsible for the International conference on Cataloguing Principles, Paris, 1961, and the International Medical of Cataloguing Experts, Copenhagen, 1969.  A new impetus to its work has been given in 1971 with the establishment of its permanent Cataoguing Secretariat whose function were to act as a co-ordinating centre, to promote cataloguing projects and to disseminate information.
675	Atom-by-Atom Typewriter Input for Computerized Storage and Retrieval of Chemical Structures	"Novel features have been added to a paper tape typewriter having a removable typing element.  A symbol set has been devised which requires only nine characters for typing common chemical structures.  The typewriter has an uncoded ""INDEX"" key which advances the paper without carriage return.  A companion key, ""BACK INDEX,"" was provided which directly retracts the paper.  Both have been coded.  A tape record containing information sufficient for a computer to calculate an atom-bond connection table for a chemical structure is obtained by typing the structure in any order solely from the keyboard or by use of the reader with prepunched tapes containing frequently occurring substructures. Cost was about one-fourth that of earlier paper tape chemical typewriters."
1114	Analysis of Information Flows in Shipbuilding and the Allied Fields	Parameters of information flows are identified as reflected in VINITI's abstract journals carrying materials in shipbuilding and the related fields.. The objective of the large-scale analysis of these flows is to support the development of an automated system of ship design and the industry's sci-tech information subsystem..  More than 1400 periodicals and serials have been identified that are relevant to the field..  The file of secondary publications in the field carried by VINITI abstract journals since 1956 amounted to 185,000 items..
1128	Free Information of a Social System	"The structure of the information field of a social system is examined, analyzing the processes of formation of scientific concepts.. The functional structure of the information field is shown to reflect that of human brain.. It is established that the effect of the ""wash-off"" of noise out of the information field with the course of time leads to concentration of the real, socially valid free information in publications covering finite time spans.. The interrelations within the service/user system are shown to be essentially different for scientific vs industrial information supplies.."
972	Graph Model for Library Information Networks	The design and study of library information networks are enhanced by the use of the concepts which have been developed by graph theorists.. In this paper we expand upon this theme, proposing a general network structure which we believe to be a good model for a wide variety of library and other information networks.. The basic concepts from graph theory are illustrated with the aid of a hypothetical Public Library Access Network (PLAN)..
283	Academic Status for College and University Librarians -  Problems and Prospects	Academic librarians will archive and deserve full academic status only after they cause changes in the bureaucratic structure of libraries and in library education, and when they provide professional service on a scholarly level..
854	Library Network Analysis and Planning (Lib-Nat)	A preliminary report on planning for network design undertaken by the Reference Round Table of the Texas Library Association and the State Advisory Council to Library services and Construction Act Title III Texas Program.. Necessary components of a network are discussed, and network transactions of eighteen Dallas area libraries analyzed using a methodology and quantitative measures developed for this project..
1380	Statistical Bibliography in Relation to the Growth of Modern Civilization	The following pages form the concluding portion of four lectures delivered by me in the University of Cambridge as Sandars Reader in Bibliography, 1921. As the two pairs of lectures appeal to widely different classes of the community, I have decided to print them separately, though the underlying theme is the same, viz. the need for uniformity in book classification as a preliminary to co-operative action in library administration and bibliography. Book classification is shelf classification, and shelf classification carried to its furthest limits leads necessarily to uniformity in the extension and definition of its classes.  Add to this a chronological order of books in their classes and your scheme of classification acquires a new value; for it presents for each period a bibliographical counterpart of the corresponding growth of the activities of the human mind. My first two lectures dealt with this thesis in its practical application to library work and the compilation of subject bibliographies.  Here statistical bibliography is considered in relation to the growth of modern civilization. Strictly speaking, the province of statistical bibliography ends with the presentation of the figures compiled.  Their final interpretation should be left to those possessing the necessary qualifications.  I am, therefore, conscious that in attempting to furnish some explanation of the interrelations of the various factors which are associated with the growth of modern civilization, I have outstripped the limits of bibliographical propriety.  On this count I offer no defense.
357	Directory of Data Base in the Social and Behavioral Sciences	As one of the early members of the computer community, I have been keenly interested in the development of quantitative methodologies in the social and behavioral sciences, and their encouragement by the data processing environment.  The economists, with an already established mathematical orientation, were among the earliest beneficiaries of the machine technology that enhances their ability to construct the test models of economic behavior.  Today, statistical methods have so affected many disciplines that it is not unusual for doctoral programs to accept statistical techniques as a substitute for one foreign language.  Similarly, the ability to program in an appropriate language is also frequently as acceptable as French or German in providing the research skills needed by doctoral students at The City University of New York and at other universities. The chief function of this directory, in terms of academic supplies of data, is not to reinventory the social science data archives that are well-known to the academic community, not to duplicate the announcements of holdings that they themselves make available to their members.  The reason for mentioning them and indicating the nature of their holdings is to make this kind of data resource known to those researchers, either in or out of the university, who are not sufficiently aware of these important resources.
1428	Understanding Scientific Literatures: A Bibliographic Approach	As the author states, the methods he describes treat the growth of a scientific literature as a social phenomenon in its own right, not as a material byproduct of the knowledge and concepts of the science written about.  Management of the literature of physics, say, does not first demand the study of physics, but of physicists.  Management of the literature of information sciences demands first the study of information scientists.
473	Bibliographic Coupling  Extended in Time: Ten Case Histories	The methods of bibliographic coupling were applied to 8186 papers in thirty- five volumes of the Physical Review (Vol. 77, 1950 to Vol. 111, 1958).. The results are reported in the form of ten case histories.. Each case was chosen to illustrate a problem in information retrieval..
1278	Mathematical Evaluation of the Scientific Serial	In this article is offered an improved citation-count method, designed to measure qualitatively the value of any scientific serial by means of a related quantitative citation count.
1292	Computer-Assisted Design of Complex Organic Synthesis	This article is concerned with the general theory of chemical synthesis and with the application of machine computation to the generation of chemical pathways for the synthesis of complicated organic molecules.  The basis for the approach which has been developed comes in large measure from the methods used by chemists in the solution of certain types of synthetic problems.
1085	Bradford's Law and the Bibliography of Science	The rationalization of scientific library systems might be greatly facilitated by the application of Bradford's law, formulated more than twenty years ago.
531	Index Term Weighting	Various approaches to index term weighting have been investigated.. In particular, claims have been made for the value of statistically-based indexing in automatic retrieval systems.. The paper discusses the logic of different types of weighting, and describes experiments testing weighting schemes of these types.. The result show that one type of weighting leads to material performance improvements in quite different collection environments..
788	The Use of Social Science Periodical Literature	The paper presents the results of a survey of the use of social science periodicals carried out at the National Lending Library during a period of four weeks in 1968.. Three-quarters of the requests came from universities and industrial organizations and over 90% of the requests were for English language publications.. Over a fifth of the requests were for seventeen titles.. There were marked variations in the subject matter requested by different types of organizations and although the overall 'half-life' of the literature proved to be 3 1/2 years this figure varied considerably from one subject to another.. Concerning the sources of references, it was discovered that compared with scientists and technologists social scientists make relatively little use of abstracting and indexing publications.. Appendixes include a copy of the questionnaire used in the survey, a list of title requested six or more times, and a list of abstracting and indexing publications cited five or more times as sources of references..
161	User Studies:  A Review of the Literature from 1966 to 1970	My terms of reference when asked to prepare this review of user studies were to bring Fishenden's work up to date.  This was published in the Journal of Documentation in September 1965 and in his paper he looks at a limited number of British use studies and draws some broad general conclusions relating to the development of a national information service.  The present paper which covers the literature back to the beginning of 1966 is somewhat more detailed.  It considers a wide range of investigations into the information gathering habits of scientists, engineers, social scientists and others, and reports results which it is hoped will provide managers with information on which to develop policies regarding library and information services at all levels.  Although an increasing number of studies is being carried out in Eastern Europe and in the USSR there has been no major work reported and consequently the review considers mainly British and American investigations.
952	Characteristics of the Research Literature Used by Chemists and Physicists in the United States	The increasing growth and complexities of research libraries are natural consequences of the growth of knowledge and the increasing complexity of knowledge. Librarians have tried to amass more and more knowledge in the form of books for the benefit of the diverse interests of their clienteles.  Their success in this activity has been reflected in the increasing difficulties of identifying satisfactorily what they have.  The processes of cataloging, classifying, and related technical routines have become increasingly complex and expensive.  The processes are of such a nature that the cost for adding each new item to a large library is, on the average, potentially if not actually, higher than that for its predecessor.  The total proportion of the budgets of large research libraries that is spent for the processing of material, as distinguished from the costs of its purchase or its direct servicing, is now such as to give librarians pause for fear a day may come when nearly all the money available to large libraries will be spent in processing material, and little will be left to service the collection or to buy new books!
521	Compression of Bibliographic Files Using an Adaptation of Run-Length Coding	Substantial degrees of compression of bibliographical data bases result from the application to them a modified form of run-length coding.. The method involves attenuation of the zero:one bit ratio of the data base.. This can be achieved by substitution of codes with the highest zero:one ratios the most frequent symbols, or by substitution of 2-bytes codes for diagrams.. A form of run-length coding in which the run-length is represented as a fixed-length binary number is then applied..
448	An Evaluation of Query Expansion by the Addition of Clustered Terms for a Document Retrieval System	An evaluation of graph theoretical clusters of index terms which can be extracted from an automatically indexed document collection, and the effects of employing such cluster in automatic document retrieval is described.. The graph theoretical cluster which were developed from six data base under two different cluster definition were analyzed for average size and related data.. The clusters were also used to expand the queries in each of six data bases to determine the effect of the expansions on the document retrieval results.. Although a large variety of clusters and associated query explanations were obtained, no significant improvements in the document retrieval performance were achieved.. In some cases, however, significant degradations in the retrieval performance occurred.. Although seemingly meaningful clusters can be obtained, the results indicate that the effort involved in finding clusters and adding the clustered terms to queries is far to great to warrant their use in an operational system.. The data bases employed were relatively small, and the  authors caution against generalizing these results to large data bases or other  situations..
1445	User Requirements in Identifying Desired Works in Large Libraries	The work reported here is a study of the utilization of the card catalog of a very large library, specifically the principal catalog of the library system of Yale University. The study was motivated by two basic concerns, one of them of a long-term, or exploratory, nature, the other of a short-term, or operationally supportive, nature.  The long-term concern is the question of how to design a computerized catalog for a very large library that can be expected to give the best possible performance.  The short-term concern is the question of whether, and, of so, how, existing card catalogs in very large libraries may be made more responsive to user requirements.  It was recognized that a carefully designed study of actual utilization of a catalog of a large library could shed useful light in both areas of concern.
234	Book Availability and the Library User	The essentially logistical problem of making library books physically available when wanted by library users is central to librarianship.  This book is a tentative attempt to provide a treatise on this problem.  As such it has to deal with both theoretical analysis and the practicality of solutions.  No apology is made for the attention devoted to theoretical analysis, because the author believes that a clear conceptual understanding of the factors involved is important for improved librarianship.  The fact that analytical models are not always usable does not mean that the insight that can sometimes be derived from such analyses will not lead to a better understanding of the problems and, thereby, to improved library services.
1075	Possibilities for Revisions of the DK (Decimal Classification)	For a number of reasons mentioned it is proposed to reorganize in a new edition the existing UDC completely, to reallocate the subject fields of the UDC main classes according to present day views, state of knowledge and priorities, and to subdivide these main classes only by subfields of subject fields.  The specific facets of each field should be represented by a uniform array of special auxiliaries attached to the fields through the technique of interrupted subdivision.  These should express the following categories: (1) Theory, (2) Objects, (3) Processes, (4) Attributes, (6) Order, organization, (7) Relation, (8) Determination, (9) Evaluation. ((5) is left free for the moment).  Proposals for further simplification of the scheme are outlined regarding the general categories, the symbols used and the rules for syntagmatic organization taking into account the implications of computer technology.  Possible changes in the layout and editions of a new UDC are discussed.
